date,newDead,confirm,heal,newHeal,dead,newConfirm
20200120,0,270,25,0,6,0
20200121,3,402,28,3,9,105
20200122,8,494,28,0,17,82
20200123,7,693,34,6,24,151
20200124,15,1083,35,1,39,310
20200125,14,1532,43,10,53,521
20200126,24,2260,47,2,77,605
20200127,24,3962,56,9,101,1604
20200128,26,5568,101,41,128,1301
20200129,39,7377,118,17,168,1630
20200130,42,9273,165,47,210,1881
20200131,45,11373,236,71,255,2021
20200201,45,13985,320,83,300,2544
20200202,56,16704,459,143,356,2766
20200203,65,20133,641,169,422,3161
20200204,66,23562,859,234,486,3823
20200205,72,27343,1116,258,558,3662
20200206,74,30733,1511,383,633,3125
20200207,87,34145,2038,527,720,3408
20200208,89,36762,2625,587,809,2644
20200209,98,39722,3244,634,907,3066
20200210,109,42177,3918,678,1016,2481
20200211,96,44177,4671,752,1111,2025
20200212,252,59364,5811,1140,1363,15146
20200213,14,63380,6813,1002,1377,5095
20200214,139,65981,7884,1071,1516,2633
20200215,145,67950,9192,1357,1659,2001
20200216,106,70086,10681,1440,1767,2046
20200217,98,71967,12400,1724,1865,1896
20200218,137,73724,14200,1795,2002,1747
20200219,114,74542,15989,1789,2116,820
20200220,117,75424,17984,1995,2233,883
20200221,109,75820,20424,2440,2342,414
20200222,97,76306,22492,2194,2437,651
20200223,150,76687,24469,1851,2589,414
20200224,71,77203,27040,2571,2660,516
20200225,52,77614,29448,2409,2712,411
20200226,29,78054,32202,2754,2741,443
20200227,43,78383,35791,3589,2784,329
20200228,48,78680,38539,2860,2832,431
20200229,35,79419,41261,2609,2868,575
20200301,42,79773,44262,2839,2911,205
20200302,31,79726,46816,2717,2940,128
20200303,38,79833,49419,2612,2978,117
20200304,31,80001,51627,2199,3009,155
20200305,30,80144,53163,1546,3039,156
20200306,28,80093,54828,1793,3064,82
20200307,28,80292,56626,1660,3095,53
20200308,22,80319,58203,1587,3117,41
20200309,17,80476,59552,1251,3136,24
20200310,22,80381,61024,1560,3156,30
20200311,11,80404,62329,1306,3167,25
20200312,8,80288,63567,1326,3173,11
20200313,13,80445,65084,1429,3188,18
20200314,10,80472,66449,1365,3198,27
20200315,14,80501,67294,845,3212,29
20200316,13,80538,68226,932,3225,42
20200317,11,80587,69160,934,3236,47
20200318,8,80663,69973,813,3244,78
20200319,2,80725,70712,739,3246,66
20200320,9,80833,71305,593,3255,110
20200321,5,80783,71697,505,3258,87
20200322,10,81070,72273,463,3270,186
20200323,7,81171,72730,457,3277,142
20200324,4,81271,73225,495,3281,101
20200325,6,81388,73629,404,3287,119
20200326,5,81500,74169,540,3292,117
20200327,3,81636,74552,383,3295,138
20200328,0,81762,75030,478,3295,127
20200329,10,81867,75367,337,3305,105
20200330,3,81968,75655,288,3308,116
20200331,7,82052,75845,190,3315,93
20200401,6,81998,75896,195,3319,93
20200402,4,82223,76216,176,3325,78
20200403,4,82296,76414,198,3329,82
20200404,3,82351,76640,226,3332,54
20200405,2,82426,76778,138,3334,75
20200406,0,82492,76877,99,3334,66
20200407,2,82581,77016,139,3336,89
20200408,2,82670,77141,125,3338,89
20200409,1,82726,77268,127,3339,56
20200410,4,82807,77365,97,3343,81
20200411,0,83353,77794,85,3349,96
20200412,2,82879,77440,125,3343,116
20200413,0,83117,77702,127,3345,99
20200414,1,83166,77819,117,3346,49
20200415,0,83219,77965,146,3346,53
20200416,0,83573,77088,88,4636,32
20200417,0,83601,77174,86,4636,31
20200418,0,83622,77260,86,4636,21
20200419,0,83658,77334,74,4636,36
20200420,0,83692,77405,71,4636,34
20200421,0,83858,77636,86,4638,38
20200422,0,83724,77593,102,4636,14
20200423,0,83732,77663,70,4636,9
20200424,0,83748,77789,126,4636,17
20200425,0,83759,77877,88,4636,11
20200426,1,83762,77985,108,4637,3
20200427,0,83788,78091,106,4637,26
20200428,0,83790,78156,65,4637,2
20200429,0,83794,78212,56,4637,4
20200430,0,83806,78272,60,4637,12
20200501,0,83809,78332,60,4637,3
20200502,0,83814,78366,34,4637,5
20200503,0,83821,78443,77,4637,7
20200504,0,83825,78553,110,4637,8
20200505,0,83827,78631,78,4637,2
20200506,0,83830,78695,64,4637,3
20200507,0,83836,78751,56,4637,6
20200508,0,83837,78828,77,4637,1
20200509,0,83852,78915,87,4637,15
20200510,0,83871,78960,45,4637,20
20200511,1,83871,78992,32,4638,1
20200512,0,83879,79021,29,4638,7
20200513,0,83885,79048,27,4638,6
