日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-05-22,'600989,宝丰能源,8.62,8.81,8.61,8.78,8.81,-0.19,-2.1566,1.0726,7866100,68370830.0,63213563200.0,6321563200.0
2020-05-21,'600989,宝丰能源,8.81,8.91,8.8,8.88,8.85,-0.04,-0.452,0.9931,7282682,64386701.0,64606901600.0,6460901600.0
2020-05-20,'600989,宝丰能源,8.85,9.05,8.82,9.05,9.06,-0.21,-2.3179,1.7069,12517708,111502007.0,64900236000.0,6490236000.0
2020-05-19,'600989,宝丰能源,9.06,9.12,8.98,9.1,8.98,0.08,0.8909,1.6503,12102953,109357583.0,66440241600.0,6644241600.0
2020-05-18,'600989,宝丰能源,8.98,9.38,8.98,9.26,9.17,-0.19,-2.072,2.8986,21257036,193905615.0,65853572800.0,6585572800.0
2020-05-15,'600989,宝丰能源,9.17,9.54,9.16,9.32,9.27,-0.1,-1.0787,5.0391,36955106,346116797.0,67246911200.0,6724911200.0
2020-05-14,'600989,宝丰能源,9.27,9.31,9.02,9.07,9.11,0.16,1.7563,3.4405,25231520,233017613.0,67980247200.0,6798247200.0
2020-05-13,'600989,宝丰能源,9.11,9.19,8.82,8.99,9.06,0.05,0.5519,3.0531,22390497,202446314.0,66806909600.0,6680909600.0
2020-05-12,'600989,宝丰能源,9.06,9.09,8.82,8.99,8.97,0.09,1.0033,3.4627,25393833,228909407.0,66440241600.0,6644241600.0
2020-05-11,'600989,宝丰能源,8.97,8.98,8.45,8.46,8.46,0.51,6.0284,3.5364,25934690,227415839.0,65780239200.0,6578239200.0
2020-05-08,'600989,宝丰能源,8.46,8.5,8.44,8.45,8.43,0.03,0.3559,0.8443,6191900,52440489.0,62040225600.0,6204225600.0
2020-05-07,'600989,宝丰能源,8.43,8.5,8.43,8.5,8.48,-0.05,-0.5896,0.8463,6206500,52488616.0,61820224800.0,6182224800.0
2020-05-06,'600989,宝丰能源,8.48,8.49,8.36,8.41,8.44,0.04,0.4739,0.8948,6562283,55363486.0,62186892800.0,6218892800.0
2020-04-30,'600989,宝丰能源,8.44,8.47,8.35,8.35,8.3,0.14,1.6867,1.0023,7350326,61869972.0,61893558400.0,6189558400.0
2020-04-29,'600989,宝丰能源,8.3,8.46,8.27,8.3,8.3,0.0,0.0,0.9615,7051000,58905409.0,60866888000.0,6086888000.0
2020-04-28,'600989,宝丰能源,8.3,8.66,8.01,8.66,8.72,-0.42,-4.8165,2.0887,15317495,128137540.0,60866888000.0,6086888000.0
2020-04-27,'600989,宝丰能源,8.72,8.9,8.71,8.83,8.85,-0.13,-1.4689,1.3653,10012285,87853164.0,63946899200.0,6394899200.0
2020-04-24,'600989,宝丰能源,8.85,8.97,8.61,8.63,8.66,0.19,2.194,2.7888,20452134,180684976.0,64900236000.0,6490236000.0
2020-04-23,'600989,宝丰能源,8.66,8.79,8.64,8.64,8.64,0.02,0.2315,1.0945,8026901,69954221.0,63506897600.0,6350897600.0
2020-04-22,'600989,宝丰能源,8.64,8.66,8.57,8.63,8.7,-0.06,-0.6897,0.9909,7267160,62623241.0,63360230400.0,6336230400.0
2020-04-21,'600989,宝丰能源,8.7,8.84,8.67,8.83,8.9,-0.2,-2.2472,1.3683,10034885,87612464.0,63800232000.0,6380232000.0
2020-04-20,'600989,宝丰能源,8.9,8.93,8.84,8.88,8.82,0.08,0.907,1.2573,9220572,81875917.0,65266904000.0,6526904000.0
2020-04-17,'600989,宝丰能源,8.82,8.87,8.78,8.8,8.78,0.04,0.4556,1.3362,9799019,86360837.0,64680235200.0,6468235200.0
2020-04-16,'600989,宝丰能源,8.78,8.88,8.77,8.88,8.89,-0.11,-1.2373,1.4328,10507700,92447068.0,64386900800.0,6438900800.0
2020-04-15,'600989,宝丰能源,8.89,9.09,8.89,9.09,9.05,-0.16,-1.768,1.9301,14154945,126575923.0,65193570400.0,6519570400.0
2020-04-14,'600989,宝丰能源,9.05,9.18,8.9,9.12,8.99,0.06,0.6674,2.8218,20693654,186511796.0,66366908000.0,6636908000.0
2020-04-13,'600989,宝丰能源,8.99,9.07,8.62,8.7,8.54,0.45,5.2693,4.2241,30977614,274965680.0,65926906400.0,6592906400.0
2020-04-10,'600989,宝丰能源,8.54,8.72,8.52,8.7,8.7,-0.16,-1.8391,1.287,9438127,81113577.0,62626894400.0,6262894400.0
2020-04-09,'600989,宝丰能源,8.7,8.78,8.67,8.71,8.71,-0.01,-0.1148,1.1344,8319094,72389936.0,63800232000.0,6380232000.0
